 fyear fmonth   fday   nday  nhour           rain           tair            par             vd          esoil             pc        jmax25t        jmax25g            mqt             rl        lambdat        lambdag             rr           asst           assg           etmt           etmg           su_1             zw             ws         spgfcf           infx
  2000      1      2   7307     22    0.11574E-08    0.27443E+02    0.00000E+00    0.55542E-02    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34097E+04    0.27793E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.47364E-02   -0.52691E-02    0.00000E+00    0.00000E+00    0.60824E+00    0.87037E+01    0.97176E+01    0.17013E-03    0.00000E+00
  2000      1      2   7307     23    0.11574E-08    0.26899E+02    0.00000E+00    0.44138E-02    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34097E+04    0.27394E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.46684E-02   -0.51935E-02    0.00000E+00    0.00000E+00    0.60393E+00    0.87035E+01    0.97174E+01    0.17011E-03    0.00000E+00
  2000      1      2   7307     24    0.11574E-08    0.26389E+02    0.00000E+00    0.33726E-02    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34097E+04    0.26986E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.45988E-02   -0.51160E-02    0.00000E+00    0.00000E+00    0.59979E+00    0.87034E+01    0.97172E+01    0.17009E-03    0.00000E+00
  2000      1      3   7308      1    0.34722E-08    0.25193E+02    0.00000E+00    0.30164E-02    0.00000E+00    0.10000E+01    0.31045E-03    0.17447E-03    0.34097E+04    0.25942E-05    0.16705E+04    0.24574E+04    0.71712E-07   -0.43745E-02   -0.49648E-02    0.00000E+00    0.00000E+00    0.59581E+00    0.87033E+01    0.97171E+01    0.17007E-03    0.00000E+00
  2000      1      3   7308      2    0.34722E-08    0.24826E+02    0.00000E+00    0.23295E-02    0.00000E+00    0.10000E+01    0.31045E-03    0.17447E-03    0.34097E+04    0.25597E-05    0.16705E+04    0.24574E+04    0.71712E-07   -0.43162E-02   -0.48987E-02    0.00000E+00    0.00000E+00    0.59209E+00    0.87032E+01    0.97169E+01    0.17005E-03    0.00000E+00
  2000      1      3   7308      3    0.34722E-08    0.24488E+02    0.00000E+00    0.17097E-02    0.00000E+00    0.10000E+01    0.31045E-03    0.17447E-03    0.34097E+04    0.25273E-05    0.16705E+04    0.24574E+04    0.71712E-07   -0.42616E-02   -0.48367E-02    0.00000E+00    0.00000E+00    0.58851E+00    0.87030E+01    0.97168E+01    0.17003E-03    0.00000E+00
  2000      1      3   7308      4    0.34722E-08    0.24163E+02    0.00000E+00    0.11220E-02    0.00000E+00    0.10000E+01    0.31045E-03    0.17447E-03    0.34097E+04    0.24956E-05    0.16705E+04    0.24574E+04    0.71712E-07   -0.42082E-02   -0.47760E-02    0.00000E+00    0.00000E+00    0.58506E+00    0.87029E+01    0.97166E+01    0.17001E-03    0.00000E+00
  2000      1      3   7308      5    0.34722E-08    0.23904E+02    0.00000E+00    0.66084E-03    0.00000E+00    0.10000E+01    0.31045E-03    0.17447E-03    0.34097E+04    0.24701E-05    0.16705E+04    0.24574E+04    0.71712E-07   -0.41651E-02   -0.47272E-02    0.00000E+00    0.00000E+00    0.58173E+00    0.87028E+01    0.97164E+01    0.16999E-03    0.00000E+00
  2000      1      3   7308      6    0.34722E-08    0.23865E+02    0.95734E-04    0.59358E-03    0.79639E-05    0.10000E+01    0.31045E-03    0.17447E-03    0.34088E+04    0.24663E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.17279E-02    0.67096E-02    0.21064E-05    0.71159E-05    0.57701E+00    0.87026E+01    0.97163E+01    0.16996E-03    0.00000E+00
  2000      1      3   7308      7    0.34722E-08    0.24231E+02    0.36902E-03    0.12447E-02    0.30518E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.34018E+04    0.25023E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.15241E-01    0.29773E-01    0.17465E-04    0.39172E-04    0.57352E+00    0.87025E+01    0.97161E+01    0.16994E-03    0.00000E+00
  2000      1      3   7308      8    0.34722E-08    0.25079E+02    0.62368E-03    0.28010E-02    0.51210E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.33904E+04    0.25836E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.24349E-01    0.42779E-01    0.42460E-04    0.86864E-04    0.56749E+00    0.87023E+01    0.97159E+01    0.16992E-03    0.00000E+00
  2000      1      3   7308      9    0.34722E-08    0.26297E+02    0.84236E-03    0.51623E-02    0.68611E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.33758E+04    0.26923E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.30115E-01    0.50192E-01    0.74672E-04    0.14520E-03    0.56251E+00    0.87022E+01    0.97156E+01    0.16990E-03    0.00000E+00
  2000      1      3   7308     10    0.34722E-08    0.27635E+02    0.10102E-02    0.79322E-02    0.81522E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.33608E+04    0.27938E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.33420E-01    0.54297E-01    0.10786E-03    0.20437E-03    0.55695E+00    0.87021E+01    0.97151E+01    0.16988E-03    0.00000E+00
  2000      1      3   7308     11    0.34722E-08    0.28844E+02    0.11156E-02    0.10602E-01    0.89111E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.33483E+04    0.28604E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.34826E-01    0.56057E-01    0.13538E-03    0.25396E-03    0.55094E+00    0.87019E+01    0.97146E+01    0.16986E-03    0.00000E+00
  2000      1      3   7308     12    0.34722E-08    0.29797E+02    0.11516E-02    0.12824E-01    0.90972E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.33403E+04    0.28894E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.34698E-01    0.55999E-01    0.15304E-03    0.28759E-03    0.54473E+00    0.87018E+01    0.97140E+01    0.16984E-03    0.00000E+00
  2000      1      3   7308     13    0.34722E-08    0.30496E+02    0.11156E-02    0.14521E-01    0.87130E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.33374E+04    0.28940E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.33214E-01    0.54399E-01    0.15955E-03    0.30388E-03    0.53854E+00    0.87017E+01    0.97133E+01    0.16982E-03    0.00000E+00
  2000      1      3   7308     14    0.34722E-08    0.30969E+02    0.10102E-02    0.15706E-01    0.78002E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.33398E+04    0.28879E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.30380E-01    0.51213E-01    0.15453E-03    0.30227E-03    0.53260E+00    0.87016E+01    0.97126E+01    0.16980E-03    0.00000E+00
  2000      1      3   7308     15    0.34722E-08    0.31184E+02    0.84235E-03    0.16252E-01    0.64346E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.33478E+04    0.28825E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.26085E-01    0.46049E-01    0.13687E-03    0.27929E-03    0.52717E+00    0.87014E+01    0.97119E+01    0.16978E-03    0.00000E+00
  2000      1      3   7308     16    0.34722E-08    0.31050E+02    0.62367E-03    0.15911E-01    0.47178E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.33621E+04    0.28861E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.20044E-01    0.37964E-01    0.10539E-03    0.22889E-03    0.52252E+00    0.87013E+01    0.97112E+01    0.16976E-03    0.00000E+00
  2000      1      3   7308     17    0.34722E-08    0.30518E+02    0.36900E-03    0.14576E-01    0.27688E-04    0.10000E+01    0.31045E-03    0.17447E-03    0.33823E+04    0.28939E-05    0.16705E+04    0.24574E+04    0.71712E-07    0.11688E-01    0.25071E-01    0.60747E-04    0.14597E-03    0.51895E+00    0.87012E+01    0.97107E+01    0.16974E-03    0.00000E+00
  2000      1      3   7308     18    0.34722E-08    0.29667E+02    0.00000E+00    0.12514E-01    0.00000E+00    0.10000E+01    0.31045E-03    0.17447E-03    0.34097E+04    0.28869E-05    0.16705E+04    0.24574E+04    0.71712E-07   -0.48680E-02   -0.55249E-02    0.00000E+00    0.00000E+00    0.51784E+00    0.87011E+01    0.97103E+01    0.16972E-03    0.00000E+00
